id	protein
O60725	ICMT
P52737	ZN136
O75121	MFA3L
A0PJW8	DAPL1
Q14493	SLBP
Q9UKA9	PTBP2
P58062	ISK7
Q96F81	DISP1
Q2TBF2	WSCD2
P25090	FPR2
O75541	ZN821
Q9UGQ3	GTR6
Q9NYQ8	FAT2
O94913	PCF11
Q9H2F3	3BHS7
Q9NP60	IRPL2
Q8N7S6	ARI2O
Q9BXX2	AN30B
Q14331	FRG1
P51654	GPC3
Q07343	PDE4B
Q9BTX3	TM208
Q6GMV2	SMYD5
O60271	JIP4
Q5SQN1	SNP47
Q9UKF7	PITC1
O00522	KRIT1
Q6WN34	CRDL2
Q9Y4Y9	LSM5
Q9UN19	DAPP1
P53990	IST1
Q9NYW6	TA2R3
O95926	SYF2
Q8N9M1	CS047
Q96EK5	KBP
Q02556	IRF8
Q9BYT1	S17A9
O14493	CLD4
Q9NVN8	GNL3L
P83859	OX26
Q9H0I2	ENKD1
O75900	MMP23
P0C024	NUDT7
K7EJ46	SIM22
Q8NGN4	O10G9
P23610	F8I2
Q9Y5C1	ANGL3
Q8WVD3	RN138
Q9NX36	DJC28
Q8NCA5	FA98A
Q14697	GANAB
Q6ZMW2	ZN782
Q05940	VMAT2
Q6ZUJ8	BCAP
P11055	MYH3
Q15386	UBE3C
O14737	PDCD5
Q92681	RSCA1
Q9Y388	RBMX2
P61619	S61A1
Q9BTN0	LRFN3
Q9UD71	PPR1B
Q9GZM6	OR8D2
P56378	68MP
Q5DT21	ISK9
P19526	FUT1
Q8NH01	O2T11
Q8IUC0	KR131
Q9BVS5	TR61B
P56539	CAV3
A0A0C4DH42	HV366
P60372	KR104
P46952	3HAO
P23582	ANFC
A6NKF1	SAC31
O95936	EOMES
P21796	VDAC1
P42229	STA5A
Q13641	TPBG
Q6ZW61	BBS12
O60701	UGDH
Q5T4W7	ARTN
Q96CB5	CH044
Q9H098	F107B
O43660	PLRG1
Q7Z4H7	HAUS6
Q8NCV1	ADAD2
O14924	RGS12
Q9P0J7	KCMF1
Q6ZU45	CL20A
Q86YW5	TRML1
Q8IYP2	PRS58
Q9UQ49	NEUR3
Q86YR6	POTED
Q5FWF6	ZN789
O60610	DIAP1
Q63HN8	RN213
Q9P265	DIP2B
P23743	DGKA
Q9Y2E4	DIP2C
Q5T753	LCE1E
B2CW77	KILIN
Q8IUQ4	SIAH1
Q9BUG6	ZSA5A
A6NFC5	TM235
A6NEQ2	F181B
A0PJX8	TMM82
Q16827	PTPRO
O14836	TR13B
Q14952	KI2S3
Q96KH6	CR012
O95521	PRAM1
P50225	ST1A1
O75871	CEAM4
Q9H5Y7	SLIK6
P35247	SFTPD
O75151	PHF2
Q8WWF8	CAPSL
Q06330	SUH
Q9HCI7	MSL2
Q6Q759	SPG17
P02751	FINC
Q3KQV3	ZN792
Q8TAF7	ZN461
Q9UN36	NDRG2
Q86W26	NAL10
Q96CN7	ISOC1
P51582	P2RY4
P22694	KAPCB
Q86VK4	ZN410
Q13873	BMPR2
Q96B49	TOM6
Q99755	PI51A
Q8N878	FRMD1
Q96A28	SLAF9
Q96CB8	INT12
Q9UN76	S6A14
Q14674	ESPL1
Q5JY77	GASP1
A8K8P3	SFI1
Q96H40	ZN486
Q96S38	KS6C1
Q86WI3	NLRC5
P09237	MMP7
P13798	ACPH
Q9BXF9	TEKT3
P51649	SSDH
P56524	HDAC4
Q96EG1	ARSG
Q8N201	INT1
Q9BXJ5	C1QT2
Q9H808	TLE6
O14576	DC1I1
Q9UPN4	CP131
Q5VWK0	NBPF6
Q96PM5	ZN363
Q6U736	OPN5
Q06210	GFPT1
Q9H7X7	IFT22
Q8NHC8	OR2T6
P24855	DNAS1
Q7Z4S6	KI21A
Q8IVF1	NTM2A
Q92859	NEO1
Q93091	RNAS6
Q05329	DCE2
Q5QP82	DCA10
Q96MH6	TMM68
Q96K30	RITA1
Q8WW32	HMGB4
Q93098	WNT8B
Q8IUG1	KRA13
P61978	HNRPK
Q12768	WASC5
P55327	TPD52
Q9Y6C7	L3R2A
P02753	RET4
Q9UIV8	SPB13
O95153	RIMB1
P01213	PDYN
Q86YG4	NT5D4
Q9BWL3	CA043
P11310	ACADM
Q71RS6	NCKX5
P30508	1C12
P30405	PPIF
A6NCI5	SIM16
O95861	BPNT1
Q6ZQX7	LIAT1
O75864	PPR37
Q8N5C1	FA26E
Q9Y584	TIM22
A0PJE2	DHR12
P0C628	O5AC1
Q5BJF6	ODFP2
O75330	HMMR
Q13461	FOXE3
P24941	CDK2
Q14118	DAG1
Q6ZQQ6	WDR87
P60893	GPR85
Q9UPA5	BSN
O75182	SIN3B
Q8TF30	WHAMM
O14905	WNT9B
Q9NWH7	SPAT6
Q7Z5Y6	BMP8A
Q9Y6M9	NDUB9
Q6Y288	B3GLT
O95755	RAB36
Q96BY6	DOC10
A8K4G0	CLM7
Q8N9V6	ANR53
P10176	COX8A
A0MZ66	SHOT1
Q7LDI9	GAK6
Q9UDR5	AASS
Q9H195	MUC3B
P23280	CAH6
Q9NYM4	GPR83
P58397	ATS12
Q9BRQ3	NUD22
Q99626	CDX2
Q13315	ATM
Q9NXV2	KCTD5
O43301	HS12A
Q92782	DPF1
P78562	PHEX
Q9HCE0	EPG5
Q6UWN8	ISK6
O75489	NDUS3
Q9BW91	NUDT9
Q5T7B8	KIF24
Q9HB58	SP110
P53365	ARFP2
Q12955	ANK3
Q9UK55	ZPI
Q96A26	F162A
P17752	TPH1
P62917	RL8
B9ZVM9	TCP2L
P01782	HV309
Q9BXR5	TLR10
O94972	TRI37
Q9Y330	ZBT12
Q99674	CGRE1
Q8NGH5	O56A1
Q5U5R9	HECD2
Q92688	AN32B
Q9HCK5	AGO4
Q96SB8	SMC6
O76095	JTB
Q86WA6	BPHL
Q9UHC7	MKRN1
P43220	GLP1R
Q13228	SBP1
O60269	GRIN2
Q96MM3	ZFP42
P31513	FMO3
Q01362	FCERB
Q99990	VGLL1
P05538	DQB2
Q96M93	ADAD1
P62888	RL30
Q9BZJ6	GPR63
Q86X52	CHSS1
Q9UPS8	ANR26
Q5TYX0	PRAM5
Q8NCH0	CHSTE
Q6GTX8	LAIR1
Q6PKX4	DOK6
Q4ADV7	RIC1
Q4G0U5	PCDP1
Q8N5X7	IF4E3
Q02928	CP4AB
O14626	GP171
Q6ZNE9	RUFY4
Q9UKZ1	CNO11
A0A0B4J1V2	HV226
Q7Z3S7	CA2D4
P09326	CD48
Q86UY5	FA83A
Q8NGK1	O51G1
Q4G0G2	H1AS1
Q5VT99	LRC38
Q8N0Y5	OR8I2
A6NH21	SERC4
Q5T6F0	DCA12
Q9Y3C0	WASC3
Q8NA66	CNBD1
Q96CJ1	EAF2
Q15154	PCM1
P01701	LV151
P21506	ZNF10
Q8WU39	MZB1
Q9XRX5	HHLA3
P61927	RL37
Q8NBQ7	AQP11
Q92888	ARHG1
Q8N336	ELMD1
Q96HJ3	CCD34
Q8IWA0	WDR75
O95661	DIRA3
P55899	FCGRN
Q96KR6	F210B
Q08828	ADCY1
P98175	RBM10
Q8N697	S15A4
P17861	XBP1
Q9H4L4	SENP3
O76081	RGS20
Q6RVD6	SPAT8
P10646	TFPI1
P62310	LSM3
Q15910	EZH2
Q8NH64	O51A7
Q9NZM3	ITSN2
Q8IZ96	CKLF1
Q96HY7	DHTK1
O60356	NUPR1
Q9NYJ1	COA4
Q96GY0	ZC21A
Q9BYC9	RM20
Q9NSD7	RL3R1
Q9UDY2	ZO2
Q9NUY8	TBC23
Q4UJ75	A20A4
Q9H777	RNZ1
Q9NY72	SCN3B
Q9H165	BC11A
Q8NCC5	SPX3
Q13033	STRN3
Q9BTX1	NDC1
O75533	SF3B1
Q99986	VRK1
O75506	HSBP1
Q8N7R7	CCYL1
Q9NS84	CHST7
Q17R98	ZN827
Q15434	RBMS2
P22415	USF1
Q96JB2	COG3
Q96SR6	ZN382
P14416	DRD2
Q9BY19	M4A8
Q9ULV0	MYO5B
Q9Y6I3	EPN1
Q9H1C3	GL8D2
P32320	CDD
Q01459	DIAC
Q9Y6E0	STK24
P01814	HV270
P21817	RYR1
Q6UWZ7	ABRX1
Q96CW1	AP2M1
P38567	HYALP
O14994	SYN3
Q9BU20	RSG1
Q9NPY3	C1QR1
Q96FX2	DPH3
Q8NGS8	O13C5
Q9NR34	MA1C1
A8MT19	RHN2P
B2RNN3	C1T9B
Q14320	FA50A
O15165	LRAD4
Q96BP3	PPWD1
Q6P3W2	DJC24
P05305	EDN1
P0CG04	IGLC1
A7MD48	SRRM4
Q01432	AMPD3
P29350	PTN6
A1L4K1	FSD2
Q8NFV5	SPDE1
P50453	SPB9
Q9Y3V2	RWDD3
P52961	NAR1
Q9H093	NUAK2
Q9GZY4	COA1
Q8IXZ2	ZC3H3
Q96CP2	FWCH2
O60831	PRAF2
O43490	PROM1
P25208	NFYB
Q4G0J3	LARP7
Q9UL63	MKLN1
Q86SH4	PRNT
Q8NB14	UBP38
Q96L08	SUSD3
Q8NF86	PRS33
A8MTW9	YB043
Q9HC38	GLOD4
Q9BWT3	PAPOG
P36406	TRI23
Q8NHM4	TRY6
Q8N9Q2	SR1IP
O95336	6PGL
Q9UI12	VATH
Q9P2X3	IMPCT
Q9NYK6	EURL
Q9NX05	F120C
Q9H7T3	CJ095
Q9Y247	FA50B
Q9NZQ9	TMOD4
Q8NDV3	SMC1B
Q6ZVW7	I17EL
O14977	AZIN1
A6NGU7	CX028
P46199	IF2M
Q5VT97	SYDE2
Q15853	USF2
O14529	CUX2
O95498	VNN2
